
65.902931,0.000000,0.000000,0.000000
67.240997,0.000000,0.000000,0.000000
67.493904,-0.528168,-0.066789,-0.008446
67.515556,1.576436,-0.055440,-0.009769
67.540215,-0.785751,-0.045691,-0.011016
67.559143,-0.368813,-0.056618,-0.011984
67.578346,-0.205810,-0.062135,-0.013124
67.600540,-0.174707,-0.066358,-0.014550
67.622314,-0.187663,-0.070303,-0.016038
67.642082,-0.128950,-0.073432,-0.017459
67.662445,-0.058653,-0.075343,-0.018973
67.682610,-0.035431,-0.076291,-0.020502
67.705833,-0.025942,-0.077004,-0.022282
67.726082,-0.018560,-0.077454,-0.023846
67.743156,-0.013043,-0.077724,-0.025171
67.760841,-0.008490,-0.077915,-0.026547
67.778061,-0.004296,-0.078025,-0.027890
67.795738,-0.004584,-0.078103,-0.029270
67.813004,-0.005220,-0.078188,-0.030619
67.829849,-0.003964,-0.078265,-0.031937
67.847168,-0.003940,-0.078334,-0.033293
67.864136,-0.005256,-0.078412,-0.034623
67.881516,-0.004790,-0.078499,-0.035986
67.898994,-0.004171,-0.078577,-0.037359
67.915932,-0.005374,-0.078658,-0.038690
67.933289,-0.004406,-0.078743,-0.040056
67.950462,-0.005561,-0.078828,-0.041409
67.984772,-0.004401,-0.078999,-0.044117
68.002457,-0.006313,-0.079094,-0.045515
68.019272,-0.005267,-0.079191,-0.046846
68.035965,-0.006124,-0.079287,-0.048168
68.054550,-0.004944,-0.079389,-0.049643
68.071777,-0.005445,-0.079479,-0.051011
68.088844,-0.005130,-0.079569,-0.052369
68.106117,-0.005371,-0.079660,-0.053744
68.123100,-0.005308,-0.079750,-0.055097
68.139900,-0.004808,-0.079835,-0.056438
68.157372,-0.005751,-0.079928,-0.057834
68.174171,-0.004028,-0.080010,-0.059177
68.192398,-0.003994,-0.080083,-0.060636
68.211403,-0.003889,-0.080158,-0.062159
68.228920,-0.003669,-0.080224,-0.063563
68.247551,-0.005179,-0.080306,-0.065059
68.264816,-0.003390,-0.080380,-0.066446
68.282410,-0.003189,-0.080438,-0.067861
68.299782,-0.003384,-0.080495,-0.069258
68.333534,-0.003346,-0.080609,-0.071977
68.350357,-0.003068,-0.080663,-0.073334
68.367683,-0.002189,-0.080708,-0.074732
68.385040,-0.002451,-0.080749,-0.076133
68.402344,-0.002103,-0.080788,-0.077531
68.419891,-0.001987,-0.080824,-0.078948
68.436852,-0.001823,-0.080856,-0.080320
68.453873,-0.000720,-0.080878,-0.081696
